farm_id,n_turb,centroid_lon,centroid_lat,area_km2,capacity_kW,density_per_km2,avg_depth_m,country
0,928,121.4239,32.8436,2754.86,9280000,0.34,0.0,China
1,589,121.1856,33.462,1451.24,5890000,0.41,0.0,China
2,572,2.9165,51.6448,770.2,5720000,0.74,0.0,Belgium
3,443,121.8054,32.6831,489.83,4430000,0.9,0.0,China
4,364,111.564,21.2977,327.91,3640000,1.11,0.0,China
5,339,1.7927,53.9099,1095.84,3390000,0.31,0.0,United Kingdom
6,293,121.5419,36.4678,445.93,2930000,0.66,0.0,China
7,284,6.5218,54.0049,285.32,2840000,1.0,0.0,Netherlands
8,278,111.5761,20.9951,423.59,2780000,0.66,0.0,China
9,267,-3.5107,54.0305,344.6,2670000,0.77,0.0,United Kingdom
10,246,-2.8564,58.1844,937.72,2460000,0.26,0.0,United Kingdom
11,246,7.6964,54.4594,215.49,2460000,1.14,0.0,Germany
12,244,116.2218,22.6333,258.02,2440000,0.95,0.0,China
13,215,-3.5741,53.4442,219.69,2150000,0.98,0.0,United Kingdom
14,189,123.3788,39.4746,342.88,1890000,0.55,0.0,China
15,182,4.0757,52.3293,441.61,1820000,0.41,0.0,Netherlands
16,178,5.9083,54.3337,205.96,1780000,0.86,0.0,Netherlands
17,175,1.4972,51.6283,132.4,1750000,1.32,0.0,United Kingdom
18,174,6.953,54.0239,305.4,1740000,0.57,0.0,Germany
19,171,120.6226,34.2763,177.74,1710000,0.96,0.0,China
20,167,6.3397,54.4774,164.18,1670000,1.02,0.0,Netherlands
21,162,120.9217,27.286,228.68,1620000,0.71,0.0,China
22,161,11.6189,54.5529,108.5,1610000,1.48,0.0,Germany
23,158,6.1233,54.0433,174.72,1580000,0.9,0.0,Netherlands
24,156,121.232,32.5335,127.23,1560000,1.23,0.0,China
25,152,13.0559,55.0056,434.33,1520000,0.35,0.0,Sweden
26,140,1.9623,51.9273,215.22,1400000,0.65,0.0,United Kingdom
27,138,7.6098,55.6337,262.62,1380000,0.53,0.0,Denmark
28,134,122.1411,32.1239,121.32,1340000,1.1,0.0,China
29,131,14.0932,54.8111,116.84,1310000,1.12,0.0,Sweden
30,129,0.4738,53.1798,85.37,1290000,1.51,0.0,United Kingdom
31,129,4.2423,52.6531,256.65,1290000,0.5,0.0,Netherlands
32,128,112.2209,21.4359,138.93,1280000,0.92,0.0,China
33,128,109.2031,20.1389,265.77,1280000,0.48,0.0,China
34,125,119.3921,25.1304,125.83,1250000,0.99,0.0,China
35,120,110.7555,20.5948,102.42,1200000,1.17,0.0,China
36,117,-0.2781,50.6703,76.77,1170000,1.52,0.0,United Kingdom
37,116,121.57,30.6253,210.2,1160000,0.55,0.0,China
38,115,121.983,30.7484,111.42,1150000,1.03,0.0,China
39,114,120.158,23.9706,178.72,1140000,0.64,0.0,Taiwan
40,114,-1.6988,56.5947,535.78,1140000,0.21,0.0,United Kingdom
41,113,117.0232,23.243,103.42,1130000,1.09,0.0,China
42,111,119.9117,24.1616,103.14,1110000,1.08,0.0,Taiwan
43,111,11.2166,56.6015,165.25,1110000,0.67,0.0,Denmark
44,108,118.942,38.2743,147.26,1080000,0.73,0.0,China
45,106,119.5441,25.2524,52.14,1060000,2.03,0.0,China
46,105,119.9959,25.8097,88.53,1050000,1.19,0.0,China
47,104,114.9472,22.3059,143.36,1040000,0.73,0.0,China
48,102,2.5034,52.2364,176.75,1020000,0.58,0.0,United Kingdom
49,101,1.632,51.4309,33.03,1010000,3.06,0.0,France
50,100,120.3623,34.5055,109.7,1000000,0.91,0.0,China
51,92,0.8416,53.2764,94.66,920000,0.97,0.0,United Kingdom
52,90,119.7641,25.6651,95.86,900000,0.94,0.0,China
53,90,0.8387,53.4775,170.17,900000,0.53,0.0,United Kingdom
54,89,5.2635,53.0019,41.47,890000,2.15,0.0,Netherlands
55,88,1.1474,53.1359,41.18,880000,2.14,0.0,United Kingdom
56,83,108.211,21.3394,63.17,830000,1.31,0.0,Vietnam
57,82,105.8099,9.2189,43.63,820000,1.88,0.0,Vietnam
58,81,-2.6062,47.1594,122.26,810000,0.66,0.0,France
59,80,7.8406,55.4865,26.58,800000,3.01,0.0,Denmark
60,80,7.1997,55.141,91.41,800000,0.88,0.0,Denmark
61,80,7.7741,55.0168,41.99,800000,1.91,0.0,Denmark
62,79,120.028,23.5921,66.33,790000,1.19,0.0,Taiwan
63,75,118.8044,38.9986,62.19,750000,1.21,0.0,China
64,75,106.8469,10.1591,114.81,750000,0.65,0.0,Vietnam
65,75,5.8848,54.0341,41.53,750000,1.81,0.0,Netherlands
66,74,121.4796,30.462,39.91,740000,1.85,0.0,China
67,73,0.2928,53.6443,26.74,730000,2.73,0.0,United Kingdom
68,72,6.8522,55.2017,81.07,720000,0.89,0.0,Denmark
69,71,0.2344,49.896,74.52,710000,0.95,0.0,France
70,70,121.2355,36.427,59.82,700000,1.17,0.0,China
71,69,120.7773,24.7084,87.85,690000,0.79,0.0,Taiwan
72,68,110.6321,20.5798,50.8,680000,1.34,0.0,China
73,67,1.3778,53.2671,67.26,670000,1.0,0.0,United Kingdom
74,62,122.2286,29.5814,24.97,620000,2.48,0.0,China
75,62,-2.542,48.857,93.83,620000,0.66,0.0,France
76,61,118.5609,38.3074,130.48,610000,0.47,0.0,China
77,61,109.4282,20.1437,62.42,610000,0.98,0.0,China
78,60,123.2027,39.4769,46.44,600000,1.29,0.0,China
79,60,120.3113,37.8351,75.42,600000,0.8,0.0,China
80,60,-3.8162,54.1164,106.63,600000,0.56,0.0,United Kingdom
81,59,119.3996,25.4058,39.21,590000,1.5,0.0,China
82,58,121.5926,33.3213,37.24,580000,1.56,0.0,China
83,58,-3.713,54.7534,13.38,580000,4.33,0.0,United Kingdom
84,57,-3.2425,53.4864,58.33,570000,0.98,0.0,United Kingdom
85,56,121.9986,28.9259,49.03,560000,1.14,0.0,China
86,56,105.3984,8.9219,37.26,560000,1.5,0.0,Vietnam
87,56,1.9848,51.7743,73.38,560000,0.76,0.0,United Kingdom
88,55,120.0532,34.5028,30.63,550000,1.8,0.0,China
89,55,122.1242,30.9301,35.88,550000,1.53,0.0,China
90,55,116.1203,22.7327,49.84,550000,1.1,0.0,China
91,55,113.4405,21.901,37.91,550000,1.45,0.0,China
92,54,121.896,30.4497,53.3,540000,1.01,0.0,China
93,51,-2.2434,56.2642,125.62,510000,0.41,0.0,United Kingdom
94,50,119.4511,37.2621,40.42,500000,1.24,0.0,China
95,50,13.8582,54.8305,57.18,500000,0.87,0.0,Sweden
96,50,1.2299,51.7298,21.11,500000,2.37,0.0,United Kingdom
97,49,113.7329,22.12,23.19,490000,2.11,0.0,China
98,48,119.7916,34.6039,43.56,480000,1.1,0.0,China
99,48,12.7808,55.5128,6.33,480000,7.58,0.0,Sweden
100,48,5.5908,52.747,24.28,480000,1.98,0.0,Netherlands
101,47,119.6054,25.5817,30.59,470000,1.54,0.0,China
102,45,1.0879,51.458,18.37,450000,2.45,0.0,United Kingdom
103,41,122.0286,29.0656,24.58,410000,1.67,0.0,China
104,40,121.6844,30.3864,38.77,400000,1.03,0.0,China
105,40,121.8575,28.8353,17.88,400000,2.24,0.0,China
106,39,119.2633,38.0237,40.9,390000,0.95,0.0,China
107,39,105.5854,9.0822,27.99,390000,1.39,0.0,Vietnam
108,38,119.6233,37.2428,36.32,380000,1.05,0.0,China
109,38,121.6844,32.3706,22.19,380000,1.71,0.0,China
110,38,122.0568,29.531,39.63,380000,0.96,0.0,China
111,36,115.9363,22.6779,23.84,360000,1.51,0.0,China
112,36,106.579,9.6266,16.41,360000,2.19,0.0,Vietnam
113,36,4.4203,52.607,22.89,360000,1.57,0.0,Netherlands
114,35,121.8844,37.9135,35.83,350000,0.98,0.0,China
115,35,106.6985,9.9279,24.69,350000,1.42,0.0,Vietnam
116,35,0.1494,53.8058,42.41,350000,0.83,0.0,United Kingdom
117,33,-70.4351,41.0531,118.82,330000,0.28,0.0,United States of America
118,32,121.7988,30.7438,34.56,320000,0.93,0.0,China
119,32,121.5002,28.1833,15.82,320000,2.02,0.0,China
120,32,110.5573,20.7161,25.26,320000,1.27,0.0,China
121,30,6.4755,53.6928,7.79,300000,3.85,0.0,Germany
122,30,1.7875,52.6458,5.08,300000,5.91,0.0,United Kingdom
123,30,-3.2982,53.9928,10.1,300000,2.97,0.0,United Kingdom
124,29,119.3727,25.2975,8.07,290000,3.59,0.0,China
125,28,118.2136,23.9216,19.05,280000,1.47,0.0,China
126,28,106.456,9.5244,14.49,280000,1.93,0.0,Vietnam
127,27,13.657,54.8185,33.37,270000,0.81,0.0,Sweden
128,27,-1.0941,54.6456,4.15,270000,6.51,0.0,United Kingdom
129,27,1.7951,54.7288,201.79,270000,0.13,0.0,United Kingdom
130,26,105.7125,9.1406,10.22,260000,2.54,0.0,Vietnam
131,25,120.1958,34.4035,14.78,250000,1.69,0.0,China
132,24,118.0399,38.6684,10.81,240000,2.22,0.0,China
133,24,105.1538,8.6706,9.53,240000,2.52,0.0,Vietnam
134,24,5.5748,52.6039,13.45,240000,1.78,0.0,Netherlands
135,23,139.9778,40.2006,7.72,230000,2.98,0.0,Japan
136,21,8.0257,56.5932,0.09,210000,233.33,0.0,Denmark
137,21,12.6507,54.6098,8.47,210000,2.48,0.0,Germany
138,20,-70.9609,41.1238,115.9,200000,0.17,0.0,United States of America
139,20,126.3176,35.4818,7.09,200000,2.82,0.0,South Korea
140,20,7.9536,56.0791,0.09,200000,222.22,0.0,Denmark
141,18,106.585,9.7455,4.4,180000,4.09,0.0,Vietnam
142,18,8.1683,53.8357,4.3,180000,4.19,0.0,Germany
143,16,104.9308,8.5498,0.02,160000,800.0,0.0,Vietnam
144,16,17.0187,56.9863,4.25,160000,3.76,0.0,Sweden
145,14,141.2564,43.2114,4.51,140000,3.1,0.0,Japan
146,12,-71.1478,41.093,25.88,120000,0.46,0.0,United States of America
147,12,117.6375,38.6666,2.32,120000,5.17,0.0,China
148,11,21.3546,61.6279,6.0,110000,1.83,0.0,Finland
149,11,12.6698,55.6945,0.42,110000,26.19,0.0,Sweden
150,11,-1.9953,57.2233,6.01,110000,1.83,0.0,United Kingdom
151,10,125.9495,34.9712,8.54,100000,1.17,0.0,South Korea
152,10,8.2313,56.6648,4.25,100000,2.35,0.0,Denmark
153,10,10.3553,55.9692,0.42,100000,23.81,0.0,Denmark
154,10,10.5833,55.7218,0.01,100000,1000.0,0.0,Denmark
155,9,17.1398,40.4919,1.19,90000,7.56,0.0,Italy
156,8,-71.1658,41.1929,31.36,80000,0.26,0.0,United States of America
157,7,10.9604,55.3441,0.01,70000,700.0,0.0,Denmark
158,7,-5.9468,52.7915,0.29,70000,24.14,0.0,Ireland
159,7,106.1245,9.2966,0.51,70000,13.73,0.0,Vietnam
160,5,-71.5218,41.1157,0.4,50000,12.5,0.0,United States of America
161,5,-1.8649,57.0045,4.37,50000,1.14,0.0,United Kingdom
162,5,-1.4019,55.1313,0.64,50000,7.81,0.0,United Kingdom
163,5,18.1467,57.0371,0.34,50000,14.71,0.0,Sweden
164,5,-1.3561,57.4875,3.57,50000,1.4,0.0,United Kingdom
165,4,118.4427,38.0457,0.34,40000,11.76,0.0,China
166,4,140.0107,39.7726,1.74,40000,2.3,0.0,Japan
167,3,4.794,43.1903,0.0,30000,0,0.0,France
168,3,117.5806,38.6193,0.1,30000,30.0,0.0,China
169,3,119.888,34.4617,0.33,30000,9.09,0.0,China
170,3,-9.0573,41.6868,0.0,30000,0,0.0,Portugal
